Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,3.0,65.0,8450,1.0,2.0,3.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,5.0,7,5,2003,2003,1.0,1.0,12.0,13.0,1.0,196.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,706,5.0,0,150,856,1.0,0.0,1.0,4.0,856,854,0,1710,1,0,2,1,3,1,2.0,8,6.0,0,5.0,1.0,2003.0,1.0,2,548,4.0,4.0,2.0,0,61,0,0,0,0,3.0,4.0,4.0,0,2,2008,8.0,4.0,208500
3,60,3.0,68.0,11250,1.0,2.0,0.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,5.0,7,5,2001,2002,1.0,1.0,12.0,13.0,1.0,162.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,486,5.0,0,434,920,1.0,0.0,1.0,4.0,920,866,0,1786,1,0,2,1,3,1,2.0,6,6.0,1,4.0,1.0,2001.0,1.0,2,608,4.0,4.0,2.0,0,42,0,0,0,0,3.0,4.0,4.0,0,9,2008,8.0,4.0,223500
144,20,3.0,78.0,10335,1.0,2.0,0.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,2.0,7,5,1999,1999,1.0,1.0,12.0,13.0,1.0,183.0,2.0,4.0,2.0,2.0,3.0,1.0,2.0,679,5.0,0,811,1490,1.0,0.0,1.0,4.0,1501,0,0,1501,1,0,2,0,3,1,2.0,6,6.0,0,5.0,1.0,1999.0,1.0,2,577,4.0,4.0,2.0,144,29,0,0,0,0,3.0,4.0,4.0,0,6,2009,8.0,4.0,204000
249,60,3.0,72.0,11317,1.0,2.0,3.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,5.0,7,5,2003,2003,1.0,1.0,12.0,13.0,1.0,101.0,2.0,4.0,2.0,2.0,3.0,3.0,5.0,0,5.0,0,840,840,1.0,0.0,1.0,4.0,840,828,0,1668,0,0,2,1,3,1,2.0,8,6.0,0,5.0,1.0,2003.0,1.0,2,500,4.0,4.0,2.0,144,68,0,0,0,0,3.0,4.0,4.0,0,9,2007,8.0,4.0,180000
253,60,3.0,65.0,8366,1.0,2.0,0.0,3.0,0.0,4.0,0.0,20.0,2.0,2.0,0.0,5.0,6,5,2004,2004,1.0,1.0,12.0,13.0,3.0,0.0,2.0,4.0,2.0,2.0,3.0,3.0,5.0,0,5.0,0,798,798,1.0,0.0,1.0,4.0,798,842,0,1640,0,0,2,1,3,1,2.0,6,6.0,0,5.0,1.0,2004.0,1.0,2,520,4.0,4.0,2.0,138,45,0,0,0,0,3.0,4.0,4.0,0,12,2008,8.0,4.0,173000
487,20,3.0,79.0,10289,1.0,2.0,3.0,3.0,0.0,4.0,0.0,12.0,2.0,2.0,0.0,2.0,5,7,1965,1965,3.0,1.0,8.0,8.0,1.0,168.0,3.0,4.0,1.0,3.0,3.0,3.0,0.0,836,5.0,0,237,1073,1.0,4.0,1.0,4.0,1073,0,0,1073,1,0,1,1,3,1,3.0,6,6.0,0,5.0,1.0,1965.0,1.0,2,515,4.0,4.0,2.0,0,0,0,0,0,0,3.0,4.0,4.0,0,6,2007,8.0,4.0,156000
507,60,3.0,80.0,9554,1.0,2.0,0.0,3.0,0.0,4.0,0.0,20.0,2.0,2.0,0.0,5.0,8,5,1993,1994,1.0,1.0,12.0,13.0,1.0,125.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,380,5.0,0,397,777,1.0,0.0,1.0,4.0,1065,846,0,1911,0,0,2,1,3,1,2.0,8,6.0,1,4.0,1.0,1993.0,1.0,2,471,4.0,4.0,2.0,182,81,0,0,0,0,3.0,4.0,4.0,0,9,2006,8.0,4.0,215000
568,20,3.0,70.0,10171,1.0,2.0,0.0,3.0,0.0,4.0,0.0,16.0,2.0,2.0,0.0,2.0,7,5,2004,2004,1.0,1.0,12.0,13.0,1.0,168.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,2,5.0,0,1515,1517,1.0,0.0,1.0,4.0,1535,0,0,1535,0,0,2,0,3,1,2.0,7,6.0,0,5.0,1.0,2004.0,1.0,2,532,4.0,4.0,2.0,0,0,0,0,0,0,3.0,4.0,4.0,0,3,2010,8.0,4.0,214000
591,60,3.0,64.0,8320,1.0,2.0,3.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,5.0,7,5,2004,2004,1.0,1.0,12.0,13.0,3.0,0.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,490,5.0,0,280,770,1.0,0.0,1.0,4.0,770,812,0,1582,0,0,2,1,3,1,2.0,6,6.0,0,5.0,1.0,2004.0,1.0,2,520,4.0,4.0,2.0,0,45,0,0,0,0,3.0,4.0,4.0,0,9,2008,8.0,4.0,185900
605,20,3.0,88.0,12803,1.0,2.0,0.0,3.0,0.0,4.0,0.0,5.0,2.0,2.0,0.0,2.0,7,5,2002,2002,1.0,1.0,12.0,13.0,1.0,99.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,922,5.0,0,572,1494,1.0,0.0,1.0,4.0,1494,0,0,1494,1,0,2,0,3,1,2.0,6,6.0,1,4.0,1.0,2002.0,1.0,2,530,4.0,4.0,2.0,192,36,0,0,0,0,3.0,4.0,4.0,0,9,2008,8.0,4.0,221000
